Company name,Stockholders Equity - Total  - 22,Difference in Total Equity,ROE,ROA,Total Assets - 21,Total Assets - 22,Difference in Total Assets,Operational Income 21,Sales - 21,Operational Income to Sales -21,Operational Income 22,Sales - 22,Difference in Sales,Operational Income to Sales - 22,Difference in Op. In /Sales (Operational Income/Sales growth),Earning per Share - 22,Sector,Organization Score,Organization Progress,Relationship score,Relationship progress,Engagement Intensity score,HQ Region,Scope 3 category,Indicator 1,Indicator 1 - progress,Indicator 2,Indicator 2 - progress,Indicator 3,Indicator 3 - progress,Indicator 4,Indicator 4 - progress,Indicator 5,Indicator 5 - progress,Indicator 6,Indicator 6 - progress,Indicator 7,Indicator 7 - progress,Indicator 8,Indicator 8 - progress,Indicator 10,Indicator 10 - progress
Suzuki Motor Corp.,2263672,231707,0.070834709,0.038589806,4036360,4155153,118793,194433,3178209,0.061176908,191461,3568380,390171,0.05365488,-0.007522028,330.2,Autos,0.31,No change in score,0.47,No change in score,0.19,Asia,Yes (use of sold product - Category 11 of the GHG protocol),N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score
TC Energy,34116,720,0.021925196,0.006541435,104218,114348,10130,6012,13387,0.449092403,6294,14977,1590,0.420244375,-0.028848028,0.64,Oil & Gas Distribution,0.49,Decline in score,0.36,No change in score,0.16,North America,Yes (use of sold product - Category 11 of the GHG protocol),Partial,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
Teck Resources Ltd.,26511,2738,0.125117876,0.063351095,47368,52359,4991,4293,13481,0.318448186,7197,17316,3835,0.415627166,0.097178979,7.77,Diversified Mining,0.65,No change in score,0.4,No change in score,0.2,North America,Yes (processing of sold products (Category 10 of the GHG protocol) and use of sold products (Category 11 of the GHG protocol)),Y,Improvement in score,Y,Improvement in score,Partial,No change in score,Partial,Improvement in score,Y,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Y,No change in score
The Coca-Cola Company,25826,966,0.369472624,0.102864289,94354,92763,-1591,11334,38655,0.293209158,12124,43004,4349,0.281927263,-0.011281895,2.2,Consumer goods & Services,0.75,No change in score,0.55,No change in score,0.19,North America,Yes (purchased goods and services - Category 1 of the GHG protocol),Partial,No change in score,Partial,No change in score,Y,No change in score,N,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,Y,No change in score,Partial,No change in score
The Southern Company,34532,1965,0.102368817,0.026206344,127534,134891,7357,5206,23113,0.225241206,5747,29279,6166,0.196284026,-0.02895718,3.28,Electric Utilities,0.43,No change in score,0.49,Decline in score,0.35,North America,Yes (use of sold product from oil and gas distribution businesses - Category 11 of the GHG protocol),Partial,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,Y,No change in score,N,No change in score,Partial,No change in score,Y,No change in score,Partial,No change in score
Thyssenkrupp AG,14742,3897,0.076448243,0.030059746,36811,37492,681,321,34015,0.009437013,1398,41140,7125,0.033981526,0.024544513,1.8103,Steel,0.52,No change in score,0.55,No change in score,0.37,Europe,No,Y,No change in score,Y,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
Toray Industries Inc.,1499649,177374,0.056174828,0.027676024,2848839,3043881,195042,55879,1883600,0.029666065,100565,2228523,344923,0.045126301,0.015460236,52.63,Chemicals,0.47,No change in score,0.5,Improvement in score,0.11,Asia,Yes (purchased goods and services (Category 1 of the GHG protocol) and use of sold products (Category 11 of the GHG protocol)),Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,N,No change in score,N,No change in score,Y,No change in score,Y,No change in score
TotalEnergies SE,114570,-429,0.179156847,0.067549957,293458,303864,10406,23662,184634,0.128156244,49677,263310,78676,0.188663552,0.060507308,8.0346,Oil & Gas,0.6,No change in score,0.57,No change in score,0.52,Europe,Yes (use of sold product - Category 11 of the GHG protocol),Y,No change in score,Y,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,Y,No change in score,Y,Improvement in score
Toyota Motor Corp.,27154820,2866491,0.104957441,0.042105956,62267140,67688771,5421631,2197749,27214594,0.080756266,2995696,31379507,4164913,0.095466637,0.014710371,205.23,Autos,0.48,No change in score,0.48,No change in score,0.32,Asia,Yes (use of sold product - Category 11 of the GHG protocol),Y,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Y,No change in score
Trane Technologies PLC,6105.2,-167.9,0.287705562,0.097142952,18059.8,18081.6,21.8,2066.3,14136.4,0.146168756,2377.9,15991.7,1855.3,0.148695886,0.00252713,7.65,Other Industrials,0.81,No change in score,0.6,No change in score,0.36,Europe,No,Y,No change in score,Y,No change in score,Y,No change in score,N,No change in score,Partial,Improvement in score,N,No change in score,Partial,No change in score,Y,No change in score,Partial,No change in score
UltraTech Cement Ltd.,504322.1,62518.1,0.142456379,0.085704156,861835.1,838277.9,-23557.2,89223,447258,0.199488886,89013.1,525988.3,78730.3,0.16923019,-0.030258696,249.0904,Cement,0.62,No change in score,0.63,Not applicable,0.11,Asia,No,N,No change in score,N,No change in score,Partial,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score
Unilever PLC,21701,1955,0.352149671,0.098199715,75095,77821,2726,9637,52444,0.183757913,9725,60073,7629,0.161886372,-0.021871542,2.999,Consumer goods & Services,0.83,No change in score,0.68,No change in score,0.54,Europe,Yes (purchased goods and services - Category 1 of the GHG protocol),Y,No change in score,Y,No change in score,Y,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,Y,No change in score,Y,Improvement in score
Uniper SE,4422,-2366,-3.201040253,-0.116524116,128397,121477,-6920,-4733,164078,-0.028846037,-11618,274219,110141,-0.042367597,-0.01352156,-24.6512,Electric Utilities,0.55,No change in score,0.6,No change in score,0.34,Europe,Yes (use of sold product from oil and gas distribution businesses - Category 11 of the GHG protocol),Y,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
United Airlines Holdings Inc.,6896,1867,0.10687355,0.010941536,68175,67358,-817,-4629,24634,-0.187911017,2477,44955,20321,0.055099544,0.243010561,2.26,Airlines,0.58,No change in score,0.36,No change in score,0.22,North America,No,Y,No change in score,Y,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
Vale S.A.,194894,-2164,0.441809394,0.189917223,499128,453387,-45741,165563,293524,0.564052684,96383,226508,-67016,0.42551698,-0.138535704,18.5662,Diversified Mining,0.6,No change in score,0.56,No change in score,0.19,South America,Yes (processing of sold products (Category 10 of the GHG protocol) and use of sold products (Category 11 of the GHG protocol)),Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,Improvement in score,Y,No change in score,N,No change in score,Partial,No change in score,Y,No change in score,Partial,No change in score
Valero Energy Corp.,25468,5651,0.452646458,0.189039389,57888,60982,3094,2709,108332,0.025006462,15728,171189,62857,0.091875062,0.0668686,29.05,Oil & Gas,0.24,No change in score,0.35,No change in score,0.22,North America,Yes (use of sold product - Category 11 of the GHG protocol),N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Y,No change in score
Vedanta Ltd.,827040,52880,0.227340878,0.094672709,1856970,1986000,129030,198830,868630,0.228900683,362310,1311920,443290,0.276167754,0.047267071,50.7271,Diversified Mining,0.61,No change in score,0.62,Not applicable,0.15,Asia,Yes (processing of sold products - Category 10 of the GHG protocol),N,No change in score,Partial,Improvement in score,Partial,Improvement in score,Partial,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
Vistra Corp.,4918,-3374,-0.249491663,-0.037423369,29683,32787,3104,-955,12077,-0.079075929,-1477,13728,1651,-0.107590326,-0.028514397,-3.26,Electric Utilities,0.63,No change in score,0.75,Improvement in score,0.31,North America,No,Y,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,Y,No change in score,Partial,No change in score
Volkswagen AG,178328,32174,0.083368848,0.026323897,528609,564772,36163,21968,250200,0.087801759,26398,279232,29032,0.094537875,0.006736117,29.6572,Autos,0.7,No change in score,0.5,Improvement in score,0.53,Europe,Yes (use of sold product - Category 11 of the GHG protocol),Y,No change in score,Y,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,Y,No change in score,Y,No change in score
Volvo AB,166236,22118,0.196840636,0.052016965,515856,629064,113208,41343,372216,0.111072603,46837,473479,101263,0.098920966,-0.012151637,16.0954,Other transport,0.66,No change in score,0.51,Improvement in score,0.34,Europe,Yes (use of sold product - Category 11 of the GHG protocol),Y,No change in score,Y,No change in score,Y,No change in score,N,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score
Walmart Inc.,91891,4360,0.148795856,0.055840072,252496,244860,-7636,24885,556933,0.044682215,25758,569962,13029,0.045192487,0.000510272,4.9,Consumer goods & Services,0.76,No change in score,0.61,No change in score,0.18,North America,Yes (purchased goods and services - Category 1 of the GHG protocol),Partial,No change in score,Partial,No change in score,Y,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
WEC Energy Group Inc.,11616.6,503.3,0.121317769,0.033657256,38988.5,41872.1,2883.6,1714.9,8316,0.206216931,1924.2,9597.4,1281.4,0.2004918,-0.005725131,4.46,Electric Utilities,0.44,No change in score,0.4,No change in score,0.22,North America,Yes (use of sold product from oil and gas distribution businesses - Category 11 of the GHG protocol),Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,Y,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
Weyerhaeuser Co.,10749,-18,0.174899991,0.108419839,17652,17340,-312,3602,10201,0.353102637,3123,10184,-17,0.306657502,-0.046445135,2.53,Consumer goods & Services,0.6,Not applicable,0.46,Not applicable,0.05,North America,Yes (purchased goods and services - Category 1 of the GHG protocol),N,No change in score,N,No change in score,Y,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
Woodside Energy Group,37127,22898,0.175020874,0.109539623,26474,59321,32847,3325,6962,0.477592646,8341,16817,9855,0.495986204,0.018393559,4.2997,Oil & Gas,0.38,No change in score,0.52,No change in score,0.35,Australasia,Yes (use of sold product - Category 11 of the GHG protocol),Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,N,No change in score,Y,No change in score,Partial,No change in score,Y,Improvement in score
Woolworths Group Ltd.,6104,4365,0.253440367,0.046494154,39236,33273,-5963,2764,55694,0.049628326,2623,60849,5155,0.043106707,-0.006521619,1.2665,Consumer goods & Services,0.58,No change in score,0.64,No change in score,0.06,Australasia,Yes (purchased goods and services - Category 1 of the GHG protocol),Partial,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score
Xcel Energy Inc.,16675,1063,0.104107946,0.028371576,57851,61188,3337,2203,13431,0.164023528,2428,15310,1879,0.158589157,-0.00543437,3.18,Electric Utilities,0.56,No change in score,0.66,No change in score,0.35,North America,Yes (use of sold product from oil and gas distribution businesses - Category 11 of the GHG protocol),Y,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,Y,No change in score,N,No change in score,Partial,No change in score,Y,No change in score,Y,No change in score
